,bet_offer_id,closed,criterion_id,criterion_label,criterion_english_label,occurrence_type,lifetime,bet_offer_type_id,bet_offer_type_name,bet_offer_type_english_name,event_id,outcome_id,outcome_label,outcome_english_label,odds,line,participant,type,changed_date,odds_fractional,odds_american,status,cash_out_status,home_score,away_score
4216,2470295094,2024-11-23T15:00:00Z,1001774535,Leicester City Scoort Als Eerste en Wint de Wedstrijd,Leicester City to Score First and Win the Match,,,18,Ja/Nee,Yes/No,1021042514,3560249140,Nee,No,1140.0,,,OT_NO,2024-11-04T08:33:07Z,2/15,-715,OPEN,ENABLED,,
4217,2470295095,2024-11-23T15:00:00Z,1001159633,Totaal Aantal Doelpunten door Chelsea,Total Goals by Chelsea,,FULL_TIME,6,Over/Onder,Over/Under,1021042514,3560249109,Meer dan,Over,5600.0,3500.0,,OT_OVER,2024-11-04T08:33:07Z,23/5,460,OPEN,ENABLED,,
4218,2470295095,2024-11-23T15:00:00Z,1001159633,Totaal Aantal Doelpunten door Chelsea,Total Goals by Chelsea,,FULL_TIME,6,Over/Onder,Over/Under,1021042514,3560249117,Minder dan,Under,1120.0,3500.0,,OT_UNDER,2024-11-04T08:33:07Z,1/9,-835,OPEN,ENABLED,,
4219,2470295096,2024-11-23T15:00:00Z,1001568620,3-Way Handicap - 1e Helft,3-Way Handicap - 1st Half,GOALS,,11,3-Way handicap,3-Way Handicap,1021042514,3560249111,1,1,16000.0,-1000.0,Leicester City,OT_ONE,2024-11-04T08:33:07Z,15/1,1500,OPEN,ENABLED,,
4220,2470295096,2024-11-23T15:00:00Z,1001568620,3-Way Handicap - 1e Helft,3-Way Handicap - 1st Half,GOALS,,11,3-Way handicap,3-Way Handicap,1021042514,3560249119,X,X,5400.0,-1000.0,,OT_CROSS,2024-11-04T08:33:07Z,22/5,440,OPEN,ENABLED,,
4221,2470295096,2024-11-23T15:00:00Z,1001568620,3-Way Handicap - 1e Helft,3-Way Handicap - 1st Half,GOALS,,11,3-Way handicap,3-Way Handicap,1021042514,3560249126,2,2,1160.0,-1000.0,Chelsea,OT_TWO,2024-11-04T08:33:07Z,2/13,-625,OPEN,ENABLED,,
4222,2470295097,2024-11-23T15:00:00Z,1002275572,Asian Handicap,Asian Handicap,GOALS,FULL_TIME,7,Asian Handicap,Asian Handicap,1021042514,3560249115,Leicester City,Leicester City,4500.0,-500.0,Leicester City,OT_UNTYPED,2024-11-04T08:33:07Z,7/2,350,OPEN,DISABLED,,
4223,2470295097,2024-11-23T15:00:00Z,1002275572,Asian Handicap,Asian Handicap,GOALS,FULL_TIME,7,Asian Handicap,Asian Handicap,1021042514,3560249122,Chelsea,Chelsea,1210.0,500.0,Chelsea,OT_UNTYPED,2024-11-04T08:33:07Z,1/5,-480,OPEN,DISABLED,,
4224,2470295098,2024-11-23T15:00:00Z,1001642866,Leicester City wint en houdt de nul,Leicester City to Win to Nil,,,18,Ja/Nee,Yes/No,1021042514,3560249134,Ja,Yes,9500.0,,,OT_YES,2024-11-04T08:33:07Z,17/2,850,OPEN,ENABLED,,
4225,2470295098,2024-11-23T15:00:00Z,1001642866,Leicester City wint en houdt de nul,Leicester City to Win to Nil,,,18,Ja/Nee,Yes/No,1021042514,3560249151,Nee,No,1050.0,,,OT_NO,2024-11-04T08:33:07Z,1/20,-2000,OPEN,ENABLED,,
