,bet_offer_id,criterion_id,criterion_label,criterion_english_label,occurrence_type,lifetime,bet_offer_type_id,bet_offer_type_name,bet_offer_type_english_name,event_id,outcome_id,outcome_label,outcome_english_label,odds,line,participant,type,changed_date,odds_fractional,odds_american,status,cash_out_status,home_score,away_score,event_name,sport,group_name
51,2480017750,1000316018,Rust,Half Time,GOALS,,2,Wedstrijd ,Match,1022274708,3593920774,2,2,2950.0,,Borussia Dortmund,2,2025-01-21T14:53:00Z,39/20,195,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
52,2480017751,1001159668,Dubbele Kans - 1e Helft,Double Chance - 1st Half,GOALS,,12,Dubbele kans,Double Chance,1022274708,3593920764,1X,1X,1380.0,,,OT_ONE_OR_CROSS,2025-01-21T14:53:00Z,4/11,-265,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
53,2480017751,1001159668,Dubbele Kans - 1e Helft,Double Chance - 1st Half,GOALS,,12,Dubbele kans,Double Chance,1022274708,3593920770,12,12,1650.0,,,OT_ONE_OR_TWO,2025-01-21T14:53:00Z,13/20,-155,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
54,2480017751,1001159668,Dubbele Kans - 1e Helft,Double Chance - 1st Half,GOALS,,12,Dubbele kans,Double Chance,1022274708,3593920777,X2,X2,1300.0,,,OT_CROSS_OR_TWO,2025-01-21T14:53:00Z,3/10,-335,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
55,2480017753,1001159532,Totaal Aantal Doelpunten - 1e Helft,Total Goals - 1st Half,GOALS,,6,Over/Onder,Over/Under,1022274708,3593920772,Meer dan,Over,1340.0,500.0,,OT_OVER,2025-01-21T14:53:00Z,1/3,-295,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
56,2480017753,1001159532,Totaal Aantal Doelpunten - 1e Helft,Total Goals - 1st Half,GOALS,,6,Over/Onder,Over/Under,1022274708,3593920780,Minder dan,Under,2900.0,500.0,,OT_UNDER,2025-01-21T14:53:00Z,19/10,190,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
57,2480017757,1001159926,Totaal Aantal Doelpunten,Total Goals,GOALS,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3593920799,Meer dan,Over,1030.0,500.0,,OT_OVER,2025-01-21T14:53:00Z,1/40,-3335,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
58,2480017757,1001159926,Totaal Aantal Doelpunten,Total Goals,GOALS,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3593920805,Minder dan,Under,12500.0,500.0,,OT_UNDER,2025-01-21T14:53:00Z,23/2,1150,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
59,2480017758,1001159633,Totaal Aantal Doelpunten door Borussia Dortmund,Total Goals by Borussia Dortmund,,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3593920808,Meer dan,Over,2050.0,1500.0,,OT_OVER,2025-01-21T14:53:00Z,21/20,105,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
60,2480017758,1001159633,Totaal Aantal Doelpunten door Borussia Dortmund,Total Goals by Borussia Dortmund,,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3593920816,Minder dan,Under,1680.0,1500.0,,OT_UNDER,2025-01-21T14:53:00Z,4/6,-148,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
61,2480017759,1001159830,Rust/Eindresultaat,Half Time/Full Time,GOALS,,8,HT/FT,HT/FT,1022274708,3593920828,2/2,2/2,3650.0,,,OT_TWO_TWO,2025-01-21T14:53:02Z,13/5,265,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
62,2480017759,1001159830,Rust/Eindresultaat,Half Time/Full Time,GOALS,,8,HT/FT,HT/FT,1022274708,3593920847,1/1,1/1,4800.0,,,OT_ONE_ONE,2025-01-21T14:53:02Z,19/5,380,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
