,sports,competitions
6200-6400,['Volleybal'],['Italië Serie A2 Vrouwen']
6400-6600,[],[]
6600-6800,"['Volleybal', 'Tennis', 'IJshockey', 'Cricket']","['ATP Challenger Koblenz, Enkelspel', 'Zweden SDHL Vrouwen', 'ATP Challenger Piracicaba, Enkelspel', 'T20 League', 'ATP Challenger Koblenz, Dubbelspel', 'ATP Challenger Piracicaba, Dubbelspel', 'Brazilian Superliga B']"
6800-7000,['Volleybal'],"[""Men's Superliga de Voleibol Masculina""]"
7000-7200,[],[]
7200-7400,"['Virtual Basketbal', 'Virtual Cricket', 'Virtual American Football', 'Virtual Voetbal', 'Futsal', 'Virtual Darten']","['WK Vrouwen', 'Czech Republic Futsal Liga', 'Europa Super League', 'Nederlandse competitie', 'The TOTO Oval', 'La Liga 23/24', 'TOTO Dome', 'TOTO Globe Arena', 'Europees Kampioenschap', 'WK Voetbal', 'Premier League 23/24', 'Serie A 23/24', 'TOTO Palace']"
7400-7600,['Volleybal'],['Polen 1. Liga']
7600-7800,['Virtual Voetbal'],['WK Vrouwen']
7800-8000,['Tafeltennis'],['Czech Liga Pro']
8000-8200,[],[]
8200-8400,[],[]
8400-8600,"['Voetbal', 'Virtual Voetbal']","['La Liga 23/24', 'Premier League 23/24', 'Serie A 23/24', ""Scotland Women's Premier League""]"
8600-8800,['IJshockey'],"['Finland Naisten Liiga, Vrouwen']"
8800-9000,"['Handbal', 'Floorball', 'IJshockey', 'Squash', 'Volleybal']","['Tsjechië Extraliga', 'Switzerland Unihockey Prime League', 'Portugal Divisao Mannen', 'Eredivisie Heren', 'PSA Squash World Tour, Vrouwen', 'Greece A1 League', 'PSA Squash World Tour, Mannen', 'Sweden Superligan', 'Finland F-Liiga', 'Erste Liga']"
9000-9200,"['Cricket', 'Voetbal', 'Basketbal', 'Darten', 'Volleybal', 'Rugby Union']","['Spanje Primera Division RFEF', 'United Rugby Championship', 'Adriatic League', 'Brazilië Superliga Vrouwen', 'Italië Lega A Vrouwen', 'T20 League', 'Modus Darts Online Live League', 'Honduras Liga Nacional de Fútbol', 'Griekenland Volleyleague']"
9200-9400,"['Volleybal', 'IJshockey', 'Voetbal']","['Zwitserland National League A', 'Oostenrijk Eishockey Liga', 'Portugal Liga 3', 'Oostenrijk Volley League Vrouwen', 'Italy Serie C']"
9400-9600,"['Snooker', 'Tennis', 'Cricket', 'Tafeltennis']","['German Masters', 'South Africa SA20 League', 'TT Elite Series', 'New Zealand Super Smash, Women', 'ATP Challenger Punta, Enkelspel']"
9600-9800,['Volleybal'],['Argentinië Serie A1 Vrouwen']
9800-10000,[],[]
10000-10200,['Basketbal'],['Serbia KLS 1st Division']
10200-10400,"['TOTO Specials', 'Volleybal']","['Griekenland A1 League Vrouwen', 'Goalgetter Boost']"
10400-10600,[],[]
10600-10800,[],[]
10800-11000,[],[]
11000-11200,[],[]
11200-11400,[],[]
11400-11600,[],[]
11600-11800,[],[]
11800-12000,[],[]
12000-12200,"['IJshockey', 'Tafeltennis']","['Czech Liga Pro', 'Finland Liiga', 'Zweden SHL']"
12200-12400,[],[]
12400-12600,[],[]
12600-12800,"['Handbal', 'Cricket']","['Wereld Kampioenschap', ""Australia Women's National Cricket League""]"
12800-13000,['Tennis'],"['ATP Challenger Brisbane 1, Enkelspel', 'WTA Linz, Doubles', 'WTA Singapore, Enkelspel', 'ATP Challenger Brisbane 1, Dubbelspel', 'WTA Linz, Enkelspel']"
13000-13200,[],[]
13200-13400,[],[]
13400-13600,[],[]
13600-13800,[],[]
13800-14000,[],[]
14000-14200,[],[]
14200-14400,[],[]
14400-14600,[],[]
14600-14800,[],[]
14800-15000,[],[]
15000-15200,[],[]
15200-15400,[],[]
15400-15600,[],[]
15600-15800,[],[]
15800-16000,[],[]
16000-16200,[],[]
16200-16400,[],[]
16400-16600,[],[]
16600-16800,[],[]
16800-17000,[],[]
17000-17200,[],[]
17200-17400,[],[]
17400-17600,[],[]
17600-17800,[],[]
17800-18000,[],[]
18000-18200,[],[]
18200-18400,[],[]
18400-18600,[],[]
18600-18800,[],[]
18800-19000,[],[]
19000-19200,[],[]
19200-19400,[],[]
19400-19600,[],[]
19600-19800,[],[]
19800-20000,[],[]
20000-20200,[],[]
20200-20400,[],[]
20400-20600,[],[]
20600-20800,[],[]
20800-21000,[],[]
21000-21200,[],[]
21200-21400,[],[]
21400-21600,[],[]
21600-21800,[],[]
21800-22000,[],[]
