event_id,match_name,start_time,home_team,away_team,competition,country,sport,home_odds,away_odds
6531349,Pouso Alegre MG vs Atlético Mineiro,2025-01-26T19:00:00Z,Pouso Alegre MG,Atlético Mineiro,Brazilië Mineiro Modulo I,Brazilië,Voetbal,3.65,1.93
6631088,SC Aymores MG vs Athletic Club Sjdr MG,2025-01-26T19:00:00Z,SC Aymores MG,Athletic Club Sjdr MG,Brazilië Mineiro Modulo I,Brazilië,Voetbal,4.25,1.83
6687676,Sporting Sala Consilina vs Ecocity Genzano,2025-01-26T19:45:00Z,Sporting Sala Consilina,Ecocity Genzano,Italië Serie A,Italië,Futsal,3.0,1.73
6658852,Engelholms Vs vs Vbf Rig Falkoping (W),2025-01-26T15:00:00Z,Engelholms Vs,Vbf Rig Falkoping (W),Zweden Eliteserien Vrouwen,Zweden,Volleybal,1.04,7.25
6649452,Sodertelge Vbk vs Uppsala Vbs,2025-01-26T17:00:00Z,Sodertelge Vbk,Uppsala Vbs,Zweden Elitserien Mannen,Zweden,Volleybal,1.08,6.25
6636807,UE Santa Coloma A vs Atletic Club Escaldes,2025-01-26T15:00:00Z,UE Santa Coloma A,Atletic Club Escaldes,Andorra First Division,Andorra,Voetbal,2.2,2.6
6636807,UE Santa Coloma A vs Atletic Club Escaldes,2025-01-26T15:00:00Z,UE Santa Coloma A,Atletic Club Escaldes,Andorra First Division,Andorra,Voetbal,2.2,2.6
6658852,Engelholms Vs vs Vbf Rig Falkoping (W),2025-01-26T15:00:00Z,Engelholms Vs,Vbf Rig Falkoping (W),Zweden Eliteserien Vrouwen,Zweden,Volleybal,1.04,7.25
6649452,Sodertelge Vbk vs Uppsala Vbs,2025-01-26T17:00:00Z,Sodertelge Vbk,Uppsala Vbs,Zweden Elitserien Mannen,Zweden,Volleybal,1.08,6.25
6646742,Radnicki Kragujevac vs Crvena Zvezda Beograd,2025-01-26T17:00:00Z,Radnicki Kragujevac,Crvena Zvezda Beograd,Servië Wiener Städtische Liga,Servië,Volleybal,2.3,1.54
6674299,Asterix Kieldrecht vs Charleroi Volley,2025-01-26T17:00:00Z,Asterix Kieldrecht,Charleroi Volley,België Liga A Vrouwen,België,Volleybal,1.4,2.7
6674548,CVB Barcelona vs CV Tenerife Libbys,2025-01-26T15:00:00Z,CVB Barcelona,CV Tenerife Libbys,Superliga Femenina,Spanje,Volleybal,5.75,1.1
6682883,Cardiff Devils vs Belfast Giants,2025-01-26T18:00:00Z,Cardiff Devils,Belfast Giants,Elite Ice Hockey League,Engeland,IJshockey,1.83,1.83
6679665,Coventry Blaze vs Dundee Stars,2025-01-26T17:30:00Z,Coventry Blaze,Dundee Stars,Elite Ice Hockey League,Engeland,IJshockey,1.29,3.15
6671714,Cv Melilla vs Leleman Conqueridor Valencia,2025-01-26T16:00:00Z,Cv Melilla,Leleman Conqueridor Valencia,Men's Superliga de Voleibol Masculina,Spanje,Volleybal,2.6,1.44
6679664,Guildford Flames vs Sheffield Steelers,2025-01-26T18:00:00Z,Guildford Flames,Sheffield Steelers,Elite Ice Hockey League,Engeland,IJshockey,2.4,1.47
6682862,Manchester Storm vs Nottingham Panthers,2025-01-26T17:30:00Z,Manchester Storm,Nottingham Panthers,Elite Ice Hockey League,Engeland,IJshockey,2.35,1.51
6674602,Nuc Volleyball vs VC Kanti Schaffhausen,2025-01-26T17:00:00Z,Nuc Volleyball,VC Kanti Schaffhausen,Zwitserland NLA Vrouwen,Zwitserland,Volleybal,1.31,3.15
6674603,Vbc Glaronia vs Vfm Franches-Montagnes (W),2025-01-26T17:00:00Z,Vbc Glaronia,Vfm Franches-Montagnes (W),Zwitserland NLA Vrouwen,Zwitserland,Volleybal,2.1,1.65
6671713,Voley Palma vs Cv Teruel,2025-01-26T17:00:00Z,Voley Palma,Cv Teruel,Men's Superliga de Voleibol Masculina,Spanje,Volleybal,10.0,1.02
6686961,ASD Pallavolo Concorezzo (W) vs US Esperia (W),2025-01-26T16:00:00Z,ASD Pallavolo Concorezzo (W),US Esperia (W),Italië Serie A2 Vrouwen,Italië,Volleybal,3.75,1.22
6686958,Altino Volley (W) vs Futura Volley Giovani Busto Arsizio,2025-01-26T16:00:00Z,Altino Volley (W),Futura Volley Giovani Busto Arsizio,Italië Serie A2 Vrouwen,Italië,Volleybal,9.0,1.03
6686962,Battistelli SG Marignano vs Millenium Brescia,2025-01-26T16:00:00Z,Battistelli SG Marignano,Millenium Brescia,Italië Serie A2 Vrouwen,Italië,Volleybal,1.26,3.4
6686960,Cbl Costa Volpino BG vs Picco Lecco,2025-01-26T16:00:00Z,Cbl Costa Volpino BG,Picco Lecco,Italië Serie A2 Vrouwen,Italië,Volleybal,1.18,4.0
6686959,Imola Volley vs Lpm Bam Mondovi,2025-01-26T16:00:00Z,Imola Volley,Lpm Bam Mondovi,Italië Serie A2 Vrouwen,Italië,Volleybal,1.51,2.4
6687016,Narconon Melendugno Le (W) vs Tecnoteam Albese V.Co,2025-01-26T16:00:00Z,Narconon Melendugno Le (W),Tecnoteam Albese V.Co,Italië Serie A2 Vrouwen,Italië,Volleybal,1.29,3.4
6686963,Pallavolo Castelfranco Pisa (W) vs Helvia Recina Macerata,2025-01-26T16:00:00Z,Pallavolo Castelfranco Pisa (W),Helvia Recina Macerata,Italië Serie A2 Vrouwen,Italië,Volleybal,4.5,1.16
6687012,Trentino Rosa vs Volley Hermaea Olbia,2025-01-26T16:00:00Z,Trentino Rosa,Volley Hermaea Olbia,Italië Serie A2 Vrouwen,Italië,Volleybal,1.14,4.75
6687178,Volley Offanengo vs Altafratte,2025-01-26T16:00:00Z,Volley Offanengo,Altafratte,Italië Serie A2 Vrouwen,Italië,Volleybal,1.8,1.91
6683016,Alex Barrena vs Pedro Boscardin Dias,2025-01-26T15:55:00Z,Alex Barrena,Pedro Boscardin Dias,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,1.65,2.06
6681584,Antoine Escoffier vs Geoffrey Blancaneaux,2025-01-27T10:00:00Z,Antoine Escoffier,Geoffrey Blancaneaux,"ATP Challenger Koblenz, Enkelspel",ATP Challenger Tour,Tennis,1.43,2.8
6683074,Camilo Ugo Carabelli vs Joao Lucas Reis Da Silva,2025-01-27T14:00:00Z,Camilo Ugo Carabelli,Joao Lucas Reis Da Silva,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,1.16,5.0
6681621,Christoph Negritu vs Stijn Slump,2025-01-26T14:45:00Z,Christoph Negritu,Stijn Slump,"ATP Challenger Koblenz, Enkelspel",ATP Challenger Tour,Tennis,1.13,4.75
6681617,David Jorda Sanchis vs Jakub Paul,2025-01-26T15:05:00Z,David Jorda Sanchis,Jakub Paul,"ATP Challenger Koblenz, Enkelspel",ATP Challenger Tour,Tennis,3.15,1.3
6683065,Eduardo Ribeiro vs Juan Carlos Prado Angelo,2025-01-27T14:00:00Z,Eduardo Ribeiro,Juan Carlos Prado Angelo,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,3.6,1.28
